,c_TotalGFA_mean,distanceCenter,angleCenter,BuildingAge,NumberofFloors,NumberofBuildings_mean,ENERGYSTARScore_mean,c_PropertyType_<K-12 School>,c_PropertyType_<Retail Store>,c_PropertyType_<Small- and Mid-Sized Office>,c_PropertyType_<Entertainment/Public Assembly>,c_PropertyType_<Large Office>,c_PropertyType_<Warehouse>,c_PropertyType_<Medical Office>,c_PropertyType_<Other>,c_PropertyType_<Mixed Use Property>,c_PropertyType_<Worship Facility>,c_PropertyType_<Restaurant>,c_PropertyType_<Hospital>,c_PropertyType_<Hotel>,c_PropertyType_<University>,c_PropertyType_<Self-Storage Facility>,c_PropertyType_<Office>,c_PropertyType_<Senior Care Community>,c_PropertyType_<Distribution Center>,c_PropertyType_<Parking>,c_PropertyType_<Data Center>,c_PropertyType_<Laboratory>,c_PropertyType_<Supermarket/Grocery Store>,c_PropertyType_<Refrigerated Warehouse>,c_PropertyType_<Manufacturing/Industrial Plant>,c_MainEnergy_<NaturalGas(kBtu)>,c_MainEnergy_<Electricity(kBtu)>,c_MainEnergy_<SteamUse(kBtu)>,GHGEmissions_mean,SiteEnergyUse_comp_mean
28,126351.0,3.3764958789506676,36.430985353458446,60,1.0,1.0,57.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.499256207874054,15.653406833048097
151,55480.0,10.402081380106633,84.64223846210902,26,2.0,1.0,98.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.1471001901536506,14.020360598692646
204,111077.0,1.0732705861127787,136.45108047193548,26,4.0,1.0,91.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.234251421632511,16.107957937550136
272,98370.0,0.8322584122708776,166.57307627140938,109,6.0,1.0,45.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.8552409913291616,15.691328507002599
305,1758750.0,0.7521016625397944,105.26322428375163,25,6.0,1.0,73.41726985524923,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.492147299705045,18.161482384714105
312,197377.0,2.3442988046480853,128.8685417734745,68,4.0,1.0,59.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.76080547751954,16.63456018613746
358,76598.0,5.236207216537985,-46.51115843235472,7,3.0,1.0,76.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.902975841610724,15.314483616409026
405,302454.0,1.7993379198015635,89.88138489712874,34,4.0,1.0,86.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.424597532458367,16.354183620626348
406,66968.0,1.8284764462990024,94.56406007940396,60,1.0,1.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.4060438013622756,14.270175904879931
498,684475.0,0.6520179467428071,-10.902525648065806,7,15.0,1.0,60.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.545109583519075,17.823417832921155
516,60000.0,6.344406905355663,145.71590173183998,7,1.0,1.0,32.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.747895049274522,16.303585848968815
530,167173.0,0.852146634411672,190.00053486460723,104,5.0,1.0,95.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.564290495837602,15.713145860051437
579,63150.0,0.3179629266146834,209.89675662645544,91,4.0,1.0,67.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.574870537502069,14.908201349120185
593,54171.0,3.6237311997861856,260.78943406026656,46,1.0,1.0,68.52234186932701,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.6656108271745818,13.82413129242449
627,71017.0,1.1789093027617243,36.86313165289786,87,3.0,1.0,54.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.444104598614017,15.712915402273858
649,56986.0,4.87756517294362,94.45577077116366,15,3.0,1.0,94.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.4176979000945504,14.291634793028834
702,21600.0,1.4260401104569034,103.35493067551704,86,3.0,1.0,82.04603224318737,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.07257069283483537,11.804736501505687
